Celltype	nFrag	scE2G	BPNet	NMF_label	Plot_label	HexColorCode	CellGroupingOrder	CelltypeOrder	Order	New_Name	CelltypeColor	CardiacCellType	ConsiderForCellTypeEnrichment	CellTypeEnrichmentGrouping	CellEnrichmentGroupingColor	ConsiderForVariantOverlapping	Include_in_UMAP_main	Include_in_UMAP_Supp
PF_Tz	5003719	TRUE	TRUE	TzConductionCells	TzConductionCells	#7B68EE	4	4	31	Purkinje_fibers_transitional_cells_1	#DFB9EE	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
VCM_transition	248681741	TRUE	TRUE	TzConductionCells	TzConductionCells	#7B68EE	4	5	32	VCM_conduction_transitional_cells	#CA2C92	TRUE	TRUE	VCM	#0000FF	TRUE	TRUE	TRUE
SAN_cellcycle	1157428	FALSE	FALSE	TzConductionCells	TzConductionCells	#7B68EE	4	5	33	Sinoatrial_node_cell_cycling	#B666D2	TRUE	FALSE			FALSE	TRUE	TRUE
PF_cellcycle	909407	FALSE	FALSE	TzConductionCells	TzConductionCells	#7B68EE	4	6	34	Purkinje_fibers_cell_cycling	#813695	TRUE	FALSE			FALSE	TRUE	TRUE
Endocardial_VentricularEC_1	68605210	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	1	35	Ventricular_endocardial_cells_1	#87CEEB	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_VentricularEC_2	38503449	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	2	36	Ventricular_endocardial_cells_2	#000080	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_VentricularEC_3	60859627	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	3	37	Ventricular_endocardial_cells_3	#4169E1	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_AtrialEC	19501055	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	4	38	Atrial_endocardial_cells	#00FF00	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_AtrialSeptumEC_endocardial	6287045	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	5	39	Atrial_septum_endocardial_cells	#228B22	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_IFT_VEC	24232006	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	6	40	IFT_valvular_endocardial_cells	#96DED1	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_to_endothelial	5491716	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	6	42	Endocardial_to_endothelial_transtition	#813695	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocardial_OFT_VEC	32853377	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	7	41	OFT_valvular_endocardial_cells	#FFFF00	TRUE	TRUE	Endocardial	#FFB3FC	TRUE	TRUE	TRUE
Endocaridal_AorticEC_endothelial	7972253	TRUE	TRUE	Endocardial_endothelial	EndocardialCells	#00FF00	5	9	49	Aortic_endothelial_cells_1	#A67202	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endocardial_cellcycle	20381250	TRUE	FALSE	Endocardial_endothelial	EndocardialCells	#00FF00	5	10	52	Endocardial_cell_cycling	#DFB9EE	TRUE	FALSE			FALSE	TRUE	TRUE
Endothelial_CapEC_endo	28701175	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	2	45	Capillary_endothelial_cells_2	#ff1493	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_CapEC_SV	22230918	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	1	44	Capillary_endothelial_cells_1	#00CED1	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_ArtEC_preArtery_2	8218072	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	3	46	Pre_arterial_endothelial_cells_1	#228B22	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_ArtEC_preArtery_1	9561743	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	4	47	Pre_arterial_endothelial_cells_2	#8B8B02	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_ArtEC_mature	11608339	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	5	48	Mature_arterial_endothelial	#FFA1D3	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_AorticEC_endothelial	2430479	FALSE	FALSE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	6	50	Aortic_endothelial_cells_2	#FF7F00	TRUE	TRUE	Endothelial	#93E9BE	FALSE	TRUE	TRUE
Endothelial_VeinEC	8121080	TRUE	TRUE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	7	43	Venous_endothelial_cells	#B666D2	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_LymphaticEC	9201969	TRUE	TRUE	Lymphatic_EC	EndothelialCells	#FF7F00	6	8	55	Lymphatic_endothelial_cells	#4682B4	TRUE	TRUE	Endothelial	#93E9BE	TRUE	TRUE	TRUE
Endothelial_cellcycle_1	18044625	TRUE	FALSE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	9	53	Endothelial_cell_cycling_1	#5A2A65	TRUE	FALSE			FALSE	TRUE	TRUE
Endothelial_cellcycle_2	4398616	TRUE	FALSE	Endocardial_endothelial	EndothelialCells	#FF7F00	6	10	54	Endothelial_cell_cycling_2	#7B68EE	TRUE	FALSE			FALSE	TRUE	TRUE
Endothelial_LymphaticEC_cellcycle	2197543	FALSE	FALSE	Lymphatic_EC	EndothelialCells	#FF7F00	6	11	55	Lymphatic_endothelial_cell_cycling	#CA2C92	TRUE	FALSE			FALSE	TRUE	TRUE
CFB_progenitors	60128283	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	1	56	Cardiac_fibroblast_progenitors	#87CEEB	TRUE	TRUE	Fibroblast	#87CEEB	TRUE	TRUE	TRUE
CFB_mature	199365767	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	2	57	Mature_fibroblasts	#000080	TRUE	TRUE	Fibroblast	#87CEEB	TRUE	TRUE	TRUE
CFB_atrium	37308368	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	3	58	Atrial_fibroblasts	#4169E1	TRUE	TRUE	Fibroblast	#87CEEB	TRUE	TRUE	TRUE
CFB_DMP_1	69679441	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	4	59	DMP_1	#00FF00	TRUE	TRUE	SHF_derived_cells	#00FF00	TRUE	TRUE	TRUE
CFB_DMP_2	26713047	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	5	60	DMP_2	#228B22	TRUE	TRUE	SHF_derived_cells	#00FF00	TRUE	TRUE	TRUE
CFB_DMP_3	14731263	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	6	61	DMP_3	#96DED1	TRUE	TRUE	SHF_derived_cells	#00FF00	TRUE	TRUE	TRUE
CFB_OFT_1	11886985	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	7	62	OFT_1	#dccd10	TRUE	TRUE	SHF_derived_cells	#00FF00	TRUE	TRUE	TRUE
CFB_OFT_2	10735821	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	8	63	OFT_2	#FFFF00	TRUE	TRUE	SHF_derived_cells	#00FF00	TRUE	TRUE	TRUE
CFB_OFT_3	3268434	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	9	64	OFT_3	#A67202	TRUE	TRUE	SHF_derived_cells	#00FF00	TRUE	TRUE	TRUE
VIC_free_segments_1	20320280	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	10	65	VIC_valve_free_segments_1	#5A2A65	TRUE	TRUE	CardiacValveMesenchymes	#00FFFF	TRUE	TRUE	TRUE
VIC_free_segments_2	18086733	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	11	66	VIC_valve_free_segments_2	#CA2C92	TRUE	TRUE	CardiacValveMesenchymes	#00FFFF	TRUE	TRUE	TRUE
VIC_free_segments_3	14487671	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	12	67	VIC_valve_free_segments_3	#B666D2	TRUE	TRUE	CardiacValveMesenchymes	#00FFFF	TRUE	TRUE	TRUE
VIC_NC_derived_mescenchyme	14894352	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	13	68	VIC_derived_from_neural_crest	#813695	TRUE	TRUE	CardiacValveMesenchymes	#00FFFF	TRUE	TRUE	TRUE
VIC_valve_roots	9141543	TRUE	TRUE	FB	Fibroblasts	#8B8B02	7	14	69	VIC_semilunar_valves	#DFB9EE	TRUE	TRUE	CardiacValveMesenchymes	#00FFFF	TRUE	TRUE	TRUE
FB_cellcycle	90749341	TRUE	FALSE	FB	Fibroblasts	#8B8B02	7	15	70	Mesenchymal_cell_cycling	#FFA1D3	TRUE	FALSE			FALSE	TRUE	TRUE
Pericytes_1	40139028	TRUE	TRUE	MuralCells	MuralCells	#00CED1	8	1	71	Pericytes_1	#87CEEB	TRUE	TRUE	Pericytes	#FFD700	TRUE	TRUE	TRUE
Pericytes_2	27696983	TRUE	TRUE	MuralCells	MuralCells	#00CED1	8	2	72	Pericytes_2	#000080	TRUE	TRUE	Pericytes	#FFD700	TRUE	TRUE	TRUE
Pericytes_3	9059001	TRUE	TRUE	MuralCells	MuralCells	#00CED1	8	3	73	Pericytes_3	#4169E1	TRUE	TRUE	Pericytes	#FFD700	TRUE	TRUE	TRUE
SMC_1	32804855	TRUE	TRUE	MuralCells	MuralCells	#00CED1	8	4	74	Smooth_muscle_cells_1	#00FF00	TRUE	TRUE	SMC	#FFD700	TRUE	TRUE	TRUE
SMC_2	5761331	TRUE	TRUE	MuralCells	MuralCells	#00CED1	8	5	75	Smooth_muscle_cells_2	#228B22	TRUE	TRUE	SMC	#FFD700	TRUE	TRUE	TRUE
SMC_3	2348927	FALSE	FALSE	MuralCells	MuralCells	#00CED1	8	6	76	Smooth_muscle_cells_3	#96DED1	TRUE	TRUE	SMC	#FFD700	FALSE	TRUE	TRUE
Pericytes_cellcycle	1435252	FALSE	FALSE	MuralCells	MuralCells	#00CED1	8	7	77	Pericytes_cell_cycling	#dccd10	TRUE	FALSE			FALSE	TRUE	TRUE
SMC_cellcycle	7809536	TRUE	FALSE	MuralCells	MuralCells	#00CED1	8	8	78	Smooth_muscle_cells_cell_cycling	#FFFF00	TRUE	FALSE			FALSE	TRUE	TRUE
