ACM_GEP_8
core_conduction_GEP_10
core_conduction_GEP_26
core_conduction_GEP_30
Endocardial_endothelial_GEP_4
Endocardial_endothelial_GEP_18
Endocardial_endothelial_GEP_25
Endocardial_endothelial_GEP_38
Endocardial_endothelial_GEP_39
Endocardial_endothelial_GEP_40
Endocardial_endothelial_GEP_41
Endocardial_endothelial_GEP_43
Endocardial_endothelial_GEP_44
Endocardial_endothelial_GEP_45
Endocardial_endothelial_GEP_46
Endocardial_endothelial_GEP_47
Endocardial_endothelial_GEP_48
Endocardial_endothelial_GEP_49
MuralCells_GEP_4
MuralCells_GEP_24
MuralCells_GEP_26
MuralCells_GEP_28
MuralCells_GEP_33
NC_GEP_10
NC_GEP_14
NC_GEP_17
NC_GEP_22
NC_GEP_23
NC_GEP_28
NC_GEP_29
VCM_GEP_10
VCM_GEP_15
VCM_GEP_20
VCM_GEP_22
VCM_GEP_24
VCM_GEP_27
VCM_GEP_31
VCM_GEP_32
VCM_GEP_33
VCM_GEP_35
Lymphatic_EC_GEP_4
Lymphatic_EC_GEP_6
Lymphatic_EC_GEP_9
Lymphatic_EC_GEP_11
Lymphatic_EC_GEP_13
Lymphatic_EC_GEP_14
Lymphatic_EC_GEP_15
TzConductionCells_GEP_11
TzConductionCells_GEP_27
TzConductionCells_GEP_28
TzConductionCells_GEP_29
ImmuneCells_GEP_10
ImmuneCells_GEP_21
ImmuneCells_GEP_23
ImmuneCells_GEP_30
ImmuneCells_GEP_31
ImmuneCells_GEP_33
ImmuneCells_GEP_36
ImmuneCells_GEP_40
ImmuneCells_GEP_41
Epicardial_FB_GEP_3
Epicardial_FB_GEP_40
Epicardial_FB_GEP_41
Epicardial_FB_GEP_44
Epicardial_FB_GEP_46
Epicardial_FB_GEP_50
NC_GEP_1
NC_GEP_2
NC_GEP_3
NC_GEP_4
NC_GEP_5
NC_GEP_6
NC_GEP_7
NC_GEP_12
NC_GEP_16
