Gene	Trait
SMAD4	Valve_defects
SMAD6	Valve_defects
SMARCA4	Valve_defects
SMARCB1	Valve_defects
SMARCE1	Valve_defects
SMC1A	Valve_defects
SMC3	Valve_defects
SMG9	Valve_defects
SOS1	Valve_defects
TAB2	Valve_defects
TGFBR2	Valve_defects
TMEM260	Valve_defects
TRAF7	Valve_defects
ZEB2	Valve_defects
ZIC3	Valve_defects
ARID1A	Malformation_of_outflow_tracts
CFC1	Malformation_of_outflow_tracts
CHD4	Malformation_of_outflow_tracts
CHST14	Malformation_of_outflow_tracts
CREBBP	Malformation_of_outflow_tracts
FGFR2	Malformation_of_outflow_tracts
FLNA	Malformation_of_outflow_tracts
KMT2D	Malformation_of_outflow_tracts
KYNU	Malformation_of_outflow_tracts
MEIS2	Malformation_of_outflow_tracts
NF1	Malformation_of_outflow_tracts
NKX2-5	Malformation_of_outflow_tracts
NODAL	Malformation_of_outflow_tracts
NOTCH1	Malformation_of_outflow_tracts
SMAD4	Malformation_of_outflow_tracts
SMAD6	Malformation_of_outflow_tracts
STRA6	Malformation_of_outflow_tracts
TBX1	Malformation_of_outflow_tracts
TBX20	Malformation_of_outflow_tracts
TMEM260	Malformation_of_outflow_tracts
ZEB2	Malformation_of_outflow_tracts
ACVR1	Atrioventricular_septal_defect
ACVR1	Malformation_of_outflow_tracts
ACVR2B	Atrioventricular_septal_defect
ACVR2B	Malformation_of_outflow_tracts
ANKRD11	Atrioventricular_septal_defect
ARID1B	Atrioventricular_septal_defect
BCOR	Malformation_of_outflow_tracts
BMPR2	Atrioventricular_septal_defect
BMPR2	Malformation_of_outflow_tracts
CFC1	Atrioventricular_septal_defect
CRELD1	Atrioventricular_septal_defect
DLL4	Malformation_of_outflow_tracts
DNAH11	Atrioventricular_septal_defect
DNAH11	Malformation_of_outflow_tracts
DNAH11	Functional_single_ventricle
DNAH5	Atrioventricular_septal_defect
EVC	Atrioventricular_septal_defect
EVC	Malformation_of_outflow_tracts
EVC2	Atrioventricular_septal_defect
EVC2	Malformation_of_outflow_tracts
FGFR2	Functional_single_ventricle
FLNA	Atrioventricular_septal_defect
FLNA	Functional_single_ventricle
FLT4	Malformation_of_outflow_tracts
FOXC1	Malformation_of_outflow_tracts
FOXC2	Malformation_of_outflow_tracts
FOXH1	Malformation_of_outflow_tracts
FOXP1	Atrioventricular_septal_defect
FOXP1	Functional_single_ventricle
GATA4	Atrioventricular_septal_defect
GATA4	Malformation_of_outflow_tracts
GATA4	Functional_single_ventricle
GATA5	Malformation_of_outflow_tracts
GATA6	Atrioventricular_septal_defect
GATA6	Malformation_of_outflow_tracts
GDF1	Atrioventricular_septal_defect
GDF1	Malformation_of_outflow_tracts
GJA1	Functional_single_ventricle
GLI3	Atrioventricular_septal_defect
GLI3	Malformation_of_outflow_tracts
HAAO	Functional_single_ventricle
HAND1	Functional_single_ventricle
HAND2	Malformation_of_outflow_tracts
HNRNPK	Malformation_of_outflow_tracts
JAG1	Malformation_of_outflow_tracts
KDM6A	Functional_single_ventricle
KDR	Malformation_of_outflow_tracts
KYNU	Functional_single_ventricle
LTBP2	Malformation_of_outflow_tracts
MED13L	Malformation_of_outflow_tracts
MEIS2	Functional_single_ventricle
MESP1	Malformation_of_outflow_tracts
MYH6	Malformation_of_outflow_tracts
NKX2-5	Atrioventricular_septal_defect
NKX2-5	Functional_single_ventricle
NKX2-6	Malformation_of_outflow_tracts
NODAL	Atrioventricular_septal_defect
NODAL	Functional_single_ventricle
NOTCH1	Functional_single_ventricle
NOTCH2	Malformation_of_outflow_tracts
NPHP4	Atrioventricular_septal_defect
NPHP4	Malformation_of_outflow_tracts
NR2F2	Atrioventricular_septal_defect
PBX1	Malformation_of_outflow_tracts
PIGL	Malformation_of_outflow_tracts
PITX2	Malformation_of_outflow_tracts
PKD1L1	Malformation_of_outflow_tracts
PKD1L1	Functional_single_ventricle
PRKACB	Atrioventricular_septal_defect
PRKD1	Atrioventricular_septal_defect
PRKD1	Malformation_of_outflow_tracts
RAB23	Malformation_of_outflow_tracts
RAD21	Malformation_of_outflow_tracts
RAF1	Malformation_of_outflow_tracts
RBFOX2	Functional_single_ventricle
SALL1	Malformation_of_outflow_tracts
SALL4	Malformation_of_outflow_tracts
SETD5	Atrioventricular_septal_defect
SF3B4	Atrioventricular_septal_defect
SF3B4	Malformation_of_outflow_tracts
SMAD2	Atrioventricular_septal_defect
SMAD2	Malformation_of_outflow_tracts
SMAD3	Functional_single_ventricle
SMARCA4	Functional_single_ventricle
SMC3	Malformation_of_outflow_tracts
STRA6	Functional_single_ventricle
TAB2	Malformation_of_outflow_tracts
TBX20	Functional_single_ventricle
TBX5	Atrioventricular_septal_defect
TFAP2B	Malformation_of_outflow_tracts
TRAF7	Functional_single_ventricle
UBR1	Malformation_of_outflow_tracts
ZFPM2	Malformation_of_outflow_tracts
ZIC3	Atrioventricular_septal_defect
ZIC3	Malformation_of_outflow_tracts
ZIC3	Functional_single_ventricle
