Gene	Trait	Category
FOXP1	Valve_defects	CHD
GATA4	Valve_defects	CHD
GATA5	Valve_defects	CHD
GATA6	Valve_defects	CHD
GDF1	Valve_defects	CHD
GJA1	Valve_defects	CHD
GLI3	Valve_defects	CHD
GPC3	Valve_defects	CHD
HAAO	Valve_defects	CHD
HAND2	Valve_defects	CHD
HNRNPK	Valve_defects	CHD
HRAS	Valve_defects	CHD
INVS	Valve_defects	CHD
JAG1	Valve_defects	CHD
KANSL1	Valve_defects	CHD
KDM6A	Valve_defects	CHD
KMT2D	Valve_defects	CHD
KRAS	Valve_defects	CHD
KYNU	Valve_defects	CHD
LTBP2	Valve_defects	CHD
LZTR1	Valve_defects	CHD
MAP2K1	Valve_defects	CHD
MAP2K2	Valve_defects	CHD
MAP3K7	Valve_defects	CHD
MED12	Valve_defects	CHD
MEIS2	Valve_defects	CHD
MYH6	Valve_defects	CHD
MYH7	Valve_defects	CHD
NF1	Valve_defects	CHD
NKX2-5	Valve_defects	CHD
NODAL	Valve_defects	CHD
NONO	Valve_defects	CHD
NOTCH1	Valve_defects	CHD
NOTCH2	Valve_defects	CHD
NPHP3	Valve_defects	CHD
NRAS	Valve_defects	CHD
NSD1	Valve_defects	CHD
NUP188	Valve_defects	CHD
PBX1	Valve_defects	CHD
PIGL	Valve_defects	CHD
PKD1L1	Valve_defects	CHD
PRKD1	Valve_defects	CHD
PTPN11	Valve_defects	CHD
RAF1	Valve_defects	CHD
RIT1	Valve_defects	CHD
SALL1	Valve_defects	CHD
SETD5	Valve_defects	CHD
SHOC2	Valve_defects	CHD
SMAD2	Valve_defects	CHD
SMAD3	Valve_defects	CHD
SMAD4	Valve_defects	CHD
SMAD6	Valve_defects	CHD
SMARCA4	Valve_defects	CHD
SMARCB1	Valve_defects	CHD
SMARCE1	Valve_defects	CHD
SMC1A	Valve_defects	CHD
SMC3	Valve_defects	CHD
SMG9	Valve_defects	CHD
SOS1	Valve_defects	CHD
TAB2	Valve_defects	CHD
TGFBR2	Valve_defects	CHD
TMEM260	Valve_defects	CHD
TRAF7	Valve_defects	CHD
ZEB2	Valve_defects	CHD
ZIC3	Valve_defects	CHD
ARID1A	Malformation_of_the_outflow_tract	CHD
CFC1	Malformation_of_the_outflow_tract	CHD
CHD4	Malformation_of_the_outflow_tract	CHD
CHST14	Malformation_of_the_outflow_tract	CHD
CREBBP	Malformation_of_the_outflow_tract	CHD
FGFR2	Malformation_of_the_outflow_tract	CHD
FLNA	Malformation_of_the_outflow_tract	CHD
KMT2D	Malformation_of_the_outflow_tract	CHD
KYNU	Malformation_of_the_outflow_tract	CHD
MEIS2	Malformation_of_the_outflow_tract	CHD
NF1	Malformation_of_the_outflow_tract	CHD
NKX2-5	Malformation_of_the_outflow_tract	CHD
NODAL	Malformation_of_the_outflow_tract	CHD
NOTCH1	Malformation_of_the_outflow_tract	CHD
SMAD4	Malformation_of_the_outflow_tract	CHD
SMAD6	Malformation_of_the_outflow_tract	CHD
STRA6	Malformation_of_the_outflow_tract	CHD
TBX1	Malformation_of_the_outflow_tract	CHD
TBX20	Malformation_of_the_outflow_tract	CHD
TMEM260	Malformation_of_the_outflow_tract	CHD
ZEB2	Malformation_of_the_outflow_tract	CHD
ACVR1	Atrioventricular_septal_defect	CHD
ACVR1	Malformation_of_the_outflow_tract	CHD
ACVR2B	Atrioventricular_septal_defect	CHD
ACVR2B	Malformation_of_the_outflow_tract	CHD
ANKRD11	Atrioventricular_septal_defect	CHD
ARID1B	Atrioventricular_septal_defect	CHD
BCOR	Malformation_of_the_outflow_tract	CHD
BMPR2	Atrioventricular_septal_defect	CHD
BMPR2	Malformation_of_the_outflow_tract	CHD
CFC1	Atrioventricular_septal_defect	CHD
CRELD1	Atrioventricular_septal_defect	CHD
DLL4	Malformation_of_the_outflow_tract	CHD
DNAH11	Atrioventricular_septal_defect	CHD
DNAH11	Malformation_of_the_outflow_tract	CHD
DNAH11	Single_ventricle_disease	CHD
DNAH5	Atrioventricular_septal_defect	CHD
EVC	Atrioventricular_septal_defect	CHD
EVC	Malformation_of_the_outflow_tract	CHD
EVC2	Atrioventricular_septal_defect	CHD
EVC2	Malformation_of_the_outflow_tract	CHD
FGFR2	Single_ventricle_disease	CHD
FLNA	Atrioventricular_septal_defect	CHD
FLNA	Single_ventricle_disease	CHD
FLT4	Malformation_of_the_outflow_tract	CHD
FOXC1	Malformation_of_the_outflow_tract	CHD
FOXC2	Malformation_of_the_outflow_tract	CHD
FOXH1	Malformation_of_the_outflow_tract	CHD
FOXP1	Atrioventricular_septal_defect	CHD
FOXP1	Single_ventricle_disease	CHD
GATA4	Atrioventricular_septal_defect	CHD
GATA4	Malformation_of_the_outflow_tract	CHD
GATA4	Single_ventricle_disease	CHD
GATA5	Malformation_of_the_outflow_tract	CHD
GATA6	Atrioventricular_septal_defect	CHD
GATA6	Malformation_of_the_outflow_tract	CHD
GDF1	Atrioventricular_septal_defect	CHD
GDF1	Malformation_of_the_outflow_tract	CHD
GJA1	Single_ventricle_disease	CHD
GLI3	Atrioventricular_septal_defect	CHD
GLI3	Malformation_of_the_outflow_tract	CHD
HAAO	Single_ventricle_disease	CHD
HAND1	Single_ventricle_disease	CHD
HAND2	Malformation_of_the_outflow_tract	CHD
HNRNPK	Malformation_of_the_outflow_tract	CHD
JAG1	Malformation_of_the_outflow_tract	CHD
KDM6A	Single_ventricle_disease	CHD
KDR	Malformation_of_the_outflow_tract	CHD
KYNU	Single_ventricle_disease	CHD
LTBP2	Malformation_of_the_outflow_tract	CHD
MED13L	Malformation_of_the_outflow_tract	CHD
MEIS2	Single_ventricle_disease	CHD
MESP1	Malformation_of_the_outflow_tract	CHD
MYH6	Malformation_of_the_outflow_tract	CHD
NKX2-5	Atrioventricular_septal_defect	CHD
NKX2-5	Single_ventricle_disease	CHD
NKX2-6	Malformation_of_the_outflow_tract	CHD
NODAL	Atrioventricular_septal_defect	CHD
NODAL	Single_ventricle_disease	CHD
NOTCH1	Single_ventricle_disease	CHD
NOTCH2	Malformation_of_the_outflow_tract	CHD
NPHP4	Atrioventricular_septal_defect	CHD
NPHP4	Malformation_of_the_outflow_tract	CHD
NR2F2	Atrioventricular_septal_defect	CHD
PBX1	Malformation_of_the_outflow_tract	CHD
PIGL	Malformation_of_the_outflow_tract	CHD
PITX2	Malformation_of_the_outflow_tract	CHD
PKD1L1	Malformation_of_the_outflow_tract	CHD
PKD1L1	Single_ventricle_disease	CHD
PRKACB	Atrioventricular_septal_defect	CHD
PRKD1	Atrioventricular_septal_defect	CHD
PRKD1	Malformation_of_the_outflow_tract	CHD
RAB23	Malformation_of_the_outflow_tract	CHD
RAD21	Malformation_of_the_outflow_tract	CHD
