x
XG
GYG2
GYG2-AS1
ARSD
ARSD-AS1
ARSE
ARSH
ARSF
RN7SL578P
AC112653.1
LINC01546
MXRA5
ASS1P4
SNORA48B
RNU6-114P
PRKX
RNU6-146P
PRKX-AS1
AC007685.1
BX890604.2
BX890604.1
AC074035.1
MTND6P12
MTCYBP12
AC112656.1
AC110995.1
NLGN4X
RF00322
MIR4770
AC078991.1
VCX3A
AC097347.1
RPS27AP17
PUDP
AC073583.1
MIR4767
STS
AC120338.1
VCX
AC005296.1
PNPLA4
AC078960.1
AC097626.1
MIR651
VCX2
VCX3B
ANOS1
DRAXINP1
FAM9A
AC003685.2
AC003685.1
AC074281.2
AC074281.1
FAM9B
RNA5SP499
AC119618.1
AC003684.1
AC073488.1
AC073488.7
AC073488.9
AC073488.8
AC073488.10
AC073488.5
AC073488.11
AC073488.4
AC073488.3
AC073488.2
AC073488.6
TBL1X
GPR143
SHROOM2
EIF5P1
HMGN1P33
CLDN34
WWC3
WWC3-AS1
CLCN4
AC003666.1
MID1
RNU6-800P
AC073529.1
HCCS
ARHGAP6
RF02271
AC004467.1
AMELX
MIR548AX
AC002366.1
AC004554.2
AC004554.1
MSL3
FRMPD4
FRMPD4-AS1
RPL17P49
AC119619.1
RN7SKP290
PRPS2
PSMA6P2
MRPL35P4
TLR7
TLR8-AS1
TLR8
TMSB4X
FAM9C
AC079171.1
LINC02154
GS1-600G8.3
ATXN3L
AC004674.1
LINC01203
GPX1P1
EGFL6
RPL30P15
MIR6086
RN7SKP20
TCEANC
RAB9A
TRAPPC2
OFD1
GPM6B
AC003035.2
AC003035.1
GEMIN8
AC002524.1
GLRA2
NPM1P9
FANCB
MOSPD2
TPT1P14
AC112498.1
ASB9
ASB11
PIGA
VEGFD
PIR
BMX
ACE2
AC097625.1
GS1-594A7.3
CLTRN
AC003669.1
CA5BP1
CA5B
AC112497.1
RF00409
INE2
ZRSR2
AP1S2
RNU5F-7P
SETP15
GRPR
AC078993.1
MAGEB17
RPL6P30
AC073909.1
RN7SL658P
CTPS2
MIR548AM
S100G
SYAP1
RNU7-56P
TXLNG
RPL12P49
RBBP7
RNU4-6P
AL929302.1
REPS2
RF00190
CBX1P2
CBX1P4
RF01210
NHS
MIR4768
Z93022.1
