Gene	Trait	n_genes	category
ADAMTS10	Obstructive_lesions	83	CHD
ANKRD11	Obstructive_lesions	83	CHD
ARID1A	Obstructive_lesions	83	CHD
B3GAT3	Obstructive_lesions	83	CHD
BCOR	Obstructive_lesions	83	CHD
BRAF	Obstructive_lesions	83	CHD
CDK13	Obstructive_lesions	83	CHD
CREBBP	Obstructive_lesions	83	CHD
DLL4	Obstructive_lesions	83	CHD
DNAH11	Obstructive_lesions	83	CHD
EHMT1	Obstructive_lesions	83	CHD
ELN	Obstructive_lesions	83	CHD
ESCO2	Obstructive_lesions	83	CHD
EVC	Obstructive_lesions	83	CHD
EVC2	Obstructive_lesions	83	CHD
FBN1	Obstructive_lesions	83	CHD
FGFR2	Obstructive_lesions	83	CHD
FOXP1	Obstructive_lesions	83	CHD
GATA4	Obstructive_lesions	83	CHD
GATA5	Obstructive_lesions	83	CHD
GATA6	Obstructive_lesions	83	CHD
GDF1	Obstructive_lesions	83	CHD
GJA1	Obstructive_lesions	83	CHD
GLI3	Obstructive_lesions	83	CHD
GPC3	Obstructive_lesions	83	CHD
HAAO	Obstructive_lesions	83	CHD
HAND2	Obstructive_lesions	83	CHD
HNRNPK	Obstructive_lesions	83	CHD
HRAS	Obstructive_lesions	83	CHD
INVS	Obstructive_lesions	83	CHD
JAG1	Obstructive_lesions	83	CHD
KANSL1	Obstructive_lesions	83	CHD
KDM6A	Obstructive_lesions	83	CHD
KMT2D	Obstructive_lesions	83	CHD
KRAS	Obstructive_lesions	83	CHD
KYNU	Obstructive_lesions	83	CHD
LTBP2	Obstructive_lesions	83	CHD
LZTR1	Obstructive_lesions	83	CHD
MAP2K1	Obstructive_lesions	83	CHD
MAP2K2	Obstructive_lesions	83	CHD
MAP3K7	Obstructive_lesions	83	CHD
MED12	Obstructive_lesions	83	CHD
MEIS2	Obstructive_lesions	83	CHD
MYH6	Obstructive_lesions	83	CHD
MYH7	Obstructive_lesions	83	CHD
NF1	Obstructive_lesions	83	CHD
NKX2-5	Obstructive_lesions	83	CHD
NODAL	Obstructive_lesions	83	CHD
NONO	Obstructive_lesions	83	CHD
NOTCH1	Obstructive_lesions	83	CHD
NOTCH2	Obstructive_lesions	83	CHD
NPHP3	Obstructive_lesions	83	CHD
NRAS	Obstructive_lesions	83	CHD
NSD1	Obstructive_lesions	83	CHD
NUP188	Obstructive_lesions	83	CHD
PBX1	Obstructive_lesions	83	CHD
PIGL	Obstructive_lesions	83	CHD
PKD1L1	Obstructive_lesions	83	CHD
PRKD1	Obstructive_lesions	83	CHD
PTPN11	Obstructive_lesions	83	CHD
RAF1	Obstructive_lesions	83	CHD
RIT1	Obstructive_lesions	83	CHD
SALL1	Obstructive_lesions	83	CHD
SETD5	Obstructive_lesions	83	CHD
SHOC2	Obstructive_lesions	83	CHD
SMAD2	Obstructive_lesions	83	CHD
SMAD3	Obstructive_lesions	83	CHD
SMAD4	Obstructive_lesions	83	CHD
SMAD6	Obstructive_lesions	83	CHD
SMARCA4	Obstructive_lesions	83	CHD
SMARCB1	Obstructive_lesions	83	CHD
