Gene
LTBP2
TGFBR1
BMP6
ADAMTSL2
SMAD6
KALRN
EDNRA
ERBB2
TLL1
ANK3
NPR3
GATA4
TBX20
MEOX1
ERG
HAND2
TBX5
MEIS2
MEF2C
CTNNB1
SAMD11
LMCD1
MECOM
PHF19
CHST6
CYP26B1
VWA8
