GEP	Proportion_in_GEP	fine_celltype
TzConductionCells_GEP_22	0.09	NA
TzConductionCells_GEP_23	0.001	NA
TzConductionCells_GEP_24	0.001	NA
TzConductionCells_GEP_25	0.001	NA
TzConductionCells_GEP_26	0.01	NA
FB_GEP_1	0.008	VIC_1
FB_GEP_2	0.002	VIC_1
FB_GEP_3	0	VIC_1
FB_GEP_5	0.002	VIC_1
FB_GEP_6	0.038	VIC_1
FB_GEP_7	0.001	VIC_1
FB_GEP_8	0	VIC_1
FB_GEP_9	0.001	VIC_1
FB_GEP_11	0	VIC_1
FB_GEP_12	0.091	VIC_1
FB_GEP_13	0.451	VIC_1
FB_GEP_14	0.231	VIC_1
FB_GEP_15	0.009	VIC_1
FB_GEP_16	0.011	VIC_1
FB_GEP_17	0.002	VIC_1
FB_GEP_18	0.002	VIC_1
FB_GEP_19	0.001	VIC_1
FB_GEP_20	0.001	VIC_1
FB_GEP_21	0.027	VIC_1
FB_GEP_22	0	VIC_1
FB_GEP_23	0.23	VIC_1
FB_GEP_24	0	VIC_1
FB_GEP_25	0.046	VIC_1
VIC_GEP_27	0.098	VIC_1
FB_GEP_1	0.051	VIC_2
FB_GEP_2	0.019	VIC_2
FB_GEP_3	0.002	VIC_2
FB_GEP_5	0.028	VIC_2
FB_GEP_6	0.079	VIC_2
FB_GEP_7	0.006	VIC_2
FB_GEP_8	0.001	VIC_2
FB_GEP_9	0.001	VIC_2
FB_GEP_10	0.001	VIC_2
FB_GEP_11	0.003	VIC_2
FB_GEP_12	0.123	VIC_2
FB_GEP_13	0.129	VIC_2
FB_GEP_14	0.196	VIC_2
FB_GEP_15	0.008	VIC_2
FB_GEP_16	0.006	VIC_2
FB_GEP_17	0.028	VIC_2
FB_GEP_18	0.003	VIC_2
FB_GEP_19	0.002	VIC_2
FB_GEP_20	0.002	VIC_2
FB_GEP_21	0.063	VIC_2
FB_GEP_22	0.004	VIC_2
FB_GEP_23	0.081	VIC_2
FB_GEP_24	0.002	VIC_2
FB_GEP_25	0.07	VIC_2
FB_GEP_26	0.007	VIC_2
VIC_GEP_27	0.12	VIC_2
FB_GEP_1	0.003	VIC_3
FB_GEP_2	0.001	VIC_3
FB_GEP_3	0	VIC_3
FB_GEP_5	0.017	VIC_3
FB_GEP_6	0.016	VIC_3
FB_GEP_7	0.001	VIC_3
FB_GEP_9	0.001	VIC_3
FB_GEP_10	0.001	VIC_3
FB_GEP_11	0	VIC_3
FB_GEP_12	0.171	VIC_3
FB_GEP_13	0.138	VIC_3
FB_GEP_14	0.238	VIC_3
FB_GEP_15	0.005	VIC_3
FB_GEP_16	0.013	VIC_3
FB_GEP_17	0.005	VIC_3
FB_GEP_18	0.001	VIC_3
FB_GEP_19	0.001	VIC_3
FB_GEP_20	0	VIC_3
FB_GEP_21	0.181	VIC_3
FB_GEP_22	0.067	VIC_3
FB_GEP_23	0.071	VIC_3
FB_GEP_24	0.001	VIC_3
FB_GEP_25	0.151	VIC_3
FB_GEP_26	0.02	VIC_3
VIC_GEP_27	0.116	VIC_3
FB_GEP_1	0.007	VIC_4
FB_GEP_2	0.001	VIC_4
FB_GEP_5	0.001	VIC_4
FB_GEP_6	0.031	VIC_4
FB_GEP_7	0.003	VIC_4
FB_GEP_8	0.001	VIC_4
FB_GEP_9	0.001	VIC_4
FB_GEP_10	0.001	VIC_4
FB_GEP_11	0	VIC_4
FB_GEP_12	0.086	VIC_4
FB_GEP_13	0.071	VIC_4
FB_GEP_14	0.016	VIC_4
FB_GEP_15	0.003	VIC_4
FB_GEP_16	0.023	VIC_4
FB_GEP_17	0.002	VIC_4
FB_GEP_18	0.002	VIC_4
FB_GEP_19	0.003	VIC_4
FB_GEP_20	0	VIC_4
FB_GEP_21	0.113	VIC_4
FB_GEP_22	0.01	VIC_4
FB_GEP_23	0.281	VIC_4
FB_GEP_24	0.001	VIC_4
FB_GEP_25	0.321	VIC_4
FB_GEP_26	0.004	VIC_4
VIC_GEP_27	0.382	VIC_4
FB_GEP_33	0.005	VIC_4
FB_GEP_1	0.003	VIC_5
FB_GEP_2	0	VIC_5
FB_GEP_5	0	VIC_5
FB_GEP_6	0.024	VIC_5
FB_GEP_7	0.002	VIC_5
FB_GEP_8	0.001	VIC_5
FB_GEP_9	0.001	VIC_5
FB_GEP_10	0.001	VIC_5
FB_GEP_12	0.058	VIC_5
FB_GEP_13	0.049	VIC_5
FB_GEP_14	0.009	VIC_5
FB_GEP_15	0.002	VIC_5
FB_GEP_16	0	VIC_5
FB_GEP_17	0.001	VIC_5
FB_GEP_18	0.002	VIC_5
FB_GEP_19	0.001	VIC_5
FB_GEP_20	0	VIC_5
FB_GEP_21	0.466	VIC_5
FB_GEP_22	0.025	VIC_5
FB_GEP_23	0.073	VIC_5
FB_GEP_24	0.004	VIC_5
FB_GEP_25	0.059	VIC_5
FB_GEP_26	0.002	VIC_5
VIC_GEP_27	0.141	VIC_5
